Taxa,Kingdom,Phylum
Acidobacteria_Gp1,Bacteria,Acidobacteria
Acidobacteria_Gp10,Bacteria,Acidobacteria
Acidobacteria_Gp14,Bacteria,Acidobacteria
Acidobacteria_Gp16,Bacteria,Acidobacteria
Acidobacteria_Gp17,Bacteria,Acidobacteria
Acidobacteria_Gp18,Bacteria,Acidobacteria
Acidobacteria_Gp21,Bacteria,Acidobacteria
Acidobacteria_Gp22,Bacteria,Acidobacteria
Acidobacteria_Gp3,Bacteria,Acidobacteria
Acidobacteria_Gp4,Bacteria,Acidobacteria
Acidobacteria_Gp5,Bacteria,Acidobacteria
Acidobacteria_Gp6,Bacteria,Acidobacteria
Acidobacteria_Gp7,Bacteria,Acidobacteria
Acidobacteria_Gp9,Bacteria,Acidobacteria
Actinobacteria,Bacteria,Actinobacteria
Alphaproteobacteria,Bacteria,Proteobacteria
Anaerolineae,Bacteria,Chloroflexi
Bacilli,Bacteria,Firmicutes
Bacteroidia,Bacteria,Bacteroidetes
Betaproteobacteria,Bacteria,Proteobacteria
Caldilineae,Bacteria,Chloroflexi
Chlamydiae,Bacteria,Chlamydiae
Chloroflexi,Bacteria,Chloroflexi
Chrysiogenetes,Bacteria,Chrysiogenetes
Clostridia,Bacteria,Firmicutes
Cyanobacteria,Bacteria,Cyanobacteria
Dehalococcoidetes,Bacteria,Chloroflexi
Deinococci,Bacteria,Deinococcus-Thermus
Deltaproteobacteria,Bacteria,Proteobacteria
Epsilonproteobacteria,Bacteria,Proteobacteria
Erysipelotrichi,Bacteria,Firmicutes
Fibrobacteria,Bacteria,Fibrobacteres
Flavobacteria,Bacteria,Bacteroidetes
Fusobacteria,Bacteria,Fusobacteria
Gammaproteobacteria,Bacteria,Proteobacteria
Gemmatimonadetes,Bacteria,Gemmatimonadetes
Holophagae,Bacteria,Acidobacteria
Lentisphaeria,Bacteria,Lentisphaerae
Methanobacteria,Archaea,Euryarchaeota
Methanomicrobia,Archaea,Euryarchaeota
Mollicutes,Bacteria,Tenericutes
Nitrospira,Bacteria,Nitrospirae
Opitutae,Bacteria,Verrucomicrobia
Planctomycetacia,Bacteria,Planctomycetes
Sphingobacteria,Bacteria,Bacteroidetes
Spirochaetes,Bacteria,Spirochaetes
Subdivision3,Bacteria,Verrucomicrobia
Synergistia,Bacteria,Synergistetes
Thermomicrobia,Bacteria,Chloroflexi
Thermoplasmata,Archaea,Euryarchaeota
Thermotogae,Bacteria,Thermotogae
Unknown,Unknown,Unknown
