"T_2_1","T_2_10","T_2_12","T_2_2","T_2_3","T_2_6","T_2_7","T_2_9","T_3_2","T_3_3","T_3_5","T_4_3","T_4_4","T_4_5","T_4_6","T_4_7","T_5_2","T_5_3","T_5_4","T_5_5","T_6_2","T_6_5","T_6_7","T_6_8","T_9_1","T_9_2","T_9_3","T_9_4","T_9_5","V_1_2","V_10_1","V_11_1","V_11_2","V_11_3","V_12_1","V_12_2","V_13_1","V_13_2","V_14_1","V_14_2","V_14_3","V_15_1","V_15_2","V_15_3","V_16_1","V_16_2","V_17_1","V_17_2","V_18_1","V_18_2","V_18_3","V_18_4","V_19_1","V_19_2","V_19_3","V_2_1","V_2_2","V_2_3","V_20_1","V_21_1","V_21_4","V_22_1","V_22_3","V_22_4","V_3_1","V_3_2","V_4_1","V_4_2","V_5_1","V_5_3","V_6_1","V_6_2","V_6_3","V_7_1","V_7_2","V_7_3","V_8_2","V_9_1","V_9_2","V_9_3","V_9_4"
"T_2_1",15,7,6,15,15,15,7,15,15,12,9,9,15,15,15,12,15,15,10,11,9,14,15,14,2,13,13,13,13,12,12,13,13,15,12,12,13,13,14,8,14,13,15,15,13,14,13,14,12,12,11,13,14,13,13,11,12,12,12,12,12,14,12,13,13,13,12,13,12,14,13,14,14,12,14,15,13,13,12,11,13
"T_2_10",7,7,4,7,7,7,5,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,7,7,1,7,7,7,7,6,6,6,6,7,6,6,7,7,7,5,7,7,7,7,6,7,6,7,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,7,7,6,6,7,6,6,6,6,6
"T_2_12",6,4,6,6,6,6,4,6,6,6,4,6,6,6,6,6,6,6,5,6,4,5,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6
"T_2_2",15,7,6,20,19,18,7,19,19,15,10,9,18,17,17,14,18,19,11,11,9,15,18,16,2,15,13,15,15,12,14,15,15,17,14,14,15,15,16,8,16,15,18,17,14,15,15,16,13,14,13,15,15,15,15,11,14,14,14,14,14,16,14,15,15,15,14,15,12,16,15,16,16,14,16,18,15,16,14,11,15
"T_2_3",15,7,6,19,19,18,7,19,19,15,10,9,18,17,17,14,18,19,11,11,9,15,18,16,2,15,13,15,15,12,14,15,15,17,14,14,15,15,16,8,16,15,18,17,14,15,15,16,13,14,13,15,15,15,15,11,14,14,14,14,14,16,14,15,15,15,14,15,12,16,15,16,16,14,16,18,15,16,14,11,15
"T_2_6",15,7,6,18,18,27,7,24,20,14,10,9,21,20,20,15,19,19,11,11,9,16,20,19,2,15,13,16,16,14,17,21,17,22,15,15,16,18,18,9,19,19,22,22,17,18,17,19,16,17,17,21,18,19,19,12,16,15,17,16,17,21,18,19,18,19,17,20,14,21,19,19,21,16,21,25,19,18,15,12,19
"T_2_7",7,5,4,7,7,7,7,7,7,7,5,6,7,7,7,6,7,7,7,7,6,7,7,7,1,7,7,7,7,6,6,6,6,7,6,6,6,6,7,5,7,6,7,7,7,7,7,7,6,6,6,7,7,7,7,5,6,6,6,6,6,7,7,7,7,6,7,7,6,7,6,7,7,6,7,7,7,7,6,5,7
"T_2_9",15,7,6,19,19,24,7,26,20,15,10,9,21,20,20,15,20,20,11,11,9,16,20,18,2,16,13,17,16,14,17,20,17,21,15,15,16,18,19,9,18,19,22,21,17,18,17,19,16,17,16,21,18,19,18,12,16,16,17,16,17,20,17,18,18,18,16,19,14,20,19,19,20,16,21,23,18,19,16,12,19
"T_3_2",15,7,6,19,19,20,7,20,21,15,10,9,19,19,18,15,18,19,11,11,9,16,19,17,2,16,13,16,17,13,15,16,16,18,15,15,16,16,17,8,17,16,19,18,15,16,16,17,14,15,14,16,16,16,16,11,15,15,15,15,15,17,15,16,16,16,15,16,13,17,16,17,17,15,17,20,16,17,15,12,16
"T_3_3",12,7,6,15,15,14,7,15,15,15,10,8,14,13,13,12,14,15,10,11,8,12,15,13,2,13,10,13,13,9,10,11,11,13,10,10,11,11,13,7,12,11,14,13,10,12,11,12,9,10,10,11,12,11,11,8,10,10,10,10,10,12,11,11,11,11,11,11,9,12,11,12,12,10,12,14,11,12,10,8,11
"T_3_5",9,7,4,10,10,10,5,10,10,10,10,6,10,10,10,10,10,10,8,8,6,9,10,10,1,9,7,9,9,7,8,9,9,10,8,8,9,9,9,6,9,9,10,10,7,9,8,9,7,8,8,8,9,8,8,7,8,8,8,8,8,9,8,8,8,9,8,8,7,9,9,9,9,8,9,10,8,8,7,7,8
"T_4_3",9,6,6,9,9,9,6,9,9,8,6,9,9,9,9,8,9,9,7,8,7,8,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9
"T_4_4",15,7,6,18,18,21,7,21,19,14,10,9,24,19,19,15,18,18,11,11,9,16,19,18,2,15,13,15,16,13,16,19,18,21,17,16,16,17,17,8,17,18,21,21,15,18,17,18,14,16,17,20,17,19,19,11,17,16,17,16,17,20,19,20,20,19,17,19,14,20,19,19,21,16,21,23,19,17,16,12,20
"T_4_5",15,7,6,17,17,20,7,20,19,13,10,9,19,25,21,15,17,17,11,11,9,16,19,17,2,15,13,15,16,13,15,19,16,21,15,15,16,16,16,8,17,16,19,20,15,16,16,17,14,15,15,19,16,17,18,11,15,16,15,15,15,21,16,17,17,17,16,19,13,18,17,17,20,15,21,24,17,16,15,12,21
"T_4_6",15,7,6,17,17,20,7,20,18,13,10,9,19,21,23,15,17,17,11,11,9,16,20,18,2,15,13,15,15,13,15,20,16,22,15,15,16,16,16,8,17,16,19,20,15,16,16,17,14,15,15,19,16,17,18,11,15,16,15,15,15,21,17,17,17,17,17,20,13,18,17,17,21,15,20,22,17,16,14,12,19
"T_4_7",12,7,6,14,14,15,6,15,15,12,10,8,15,15,15,15,14,14,10,10,7,13,14,15,2,12,10,12,12,11,13,14,14,15,13,13,14,14,13,7,14,14,15,15,12,13,13,14,12,13,13,13,13,13,13,9,13,13,13,13,13,14,13,13,13,14,13,13,11,14,14,14,14,13,14,15,13,13,12,10,13
"T_5_2",15,7,6,18,18,19,7,20,18,14,10,9,18,17,17,14,22,19,11,11,9,15,18,17,2,15,13,16,15,13,15,17,16,18,14,14,15,16,17,9,17,17,19,18,15,16,16,17,14,15,14,17,16,17,16,11,15,14,15,14,15,17,15,16,16,16,14,16,13,18,17,18,17,15,18,19,16,17,15,11,16
"T_5_3",15,7,6,19,19,19,7,20,19,15,10,9,18,17,17,14,19,20,11,11,9,15,18,16,2,15,13,16,15,13,15,16,15,17,14,14,15,16,17,9,17,16,18,17,15,16,16,17,14,15,13,16,16,16,15,11,14,14,15,14,14,16,14,15,15,15,14,15,13,17,16,17,16,15,17,19,15,17,14,11,15
